alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.3,0.6,0.4,1.8,0.001683011014266283
0.7,0.1,0.3,2.8,0.0016841963073939005
0.1,0.5,0.3,2.4,0.0016912902350853622
0.1,0.6,0.3,2.4,0.0016924399326262154
0.4,0.2,0.4,1.4,0.0016997433067952993
0.2,0.6,0.3,2.6,0.0017145481914176647
0.6,0.1,0.3,2.4,0.0017687051579695714
0.3,0.3,0.4,1.6,0.0017699866459215414
0.3,0.5,0.3,2.8,0.001774748527833784
0.5,0.2,0.5,1.2,0.0017880243799529875
0.3,0.1,0.3,2.4,0.0017945908474661391
0.7,0.1,0.3,2.6,0.0018139079412280293
0.1,0.6,0.3,2.8,0.0018162778879088064
0.1,0.8,0.3,2.8,0.0018165676330894024
0.2,0.4,0.3,2.2,0.0018319506157022428
0.3,0.4,0.4,1.8,0.0018681868103454485
0.6,0.2,0.3,2.8,0.0018762359245606583
0.5,0.3,0.4,2.0,0.0018763388799958765
0.1,0.5,0.3,2.6,0.0018807701776805037
0.3,0.1,0.3,2.0,0.0018874964750756932
0.4,0.4,0.4,2.0,0.0018935893618580218
0.3,0.3,0.4,1.4,0.0019435509693326372
0.5,0.2,0.5,1.0,0.0019637348053214315
0.4,0.5,0.4,2.0,0.0019902080469757595
0.6,0.2,0.4,2.0,0.0020109120027146485
0.4,0.4,0.4,1.6,0.0020136311251987725
0.5,0.1,0.3,2.8,0.002024171817051899
0.3,0.6,0.4,2.0,0.0020244651345006784
0.5,0.1,0.3,2.2,0.0020336888203045436
0.6,0.1,0.5,1.0,0.0020415829633502747
0.4,0.1,0.4,1.6,0.002068630127311287
0.2,0.2,0.3,2.4,0.002070776527400236
0.3,0.4,0.3,2.4,0.002087957633420175
0.4,0.5,0.5,1.2,0.00210585472981905
0.1,0.8,0.3,2.6,0.0021076195061640888
0.4,0.5,0.4,1.8,0.002108737378292779
0.3,0.3,0.3,2.2,0.002119558582839717
0.4,0.4,0.5,1.2,0.002131013333361806
0.1,0.7,0.3,2.4,0.0021364998170648603
0.8,0.1,0.4,1.8,0.0021500295537934346
0.5,0.1,0.4,1.8,0.0021613452479270997
0.8,0.1,0.3,2.8,0.002161375732232537
0.1,0.5,0.3,2.2,0.0021636724650076922
0.2,0.2,0.3,2.0,0.00216819713389372
0.3,0.2,0.4,1.4,0.0021715903668083096
0.4,0.4,0.3,2.8,0.0021735418146644207
0.5,0.3,0.3,2.8,0.002179770274539448
0.4,0.2,0.4,1.8,0.002199627854369908
0.3,0.7,0.4,2.0,0.002213661778331301
0.4,0.3,0.5,1.0,0.0022230837838495623
0.5,0.4,0.5,1.2,0.002231923972011507
0.2,0.7,0.3,2.8,0.00223376724811665
0.8,0.1,0.5,1.4,0.0022563506039662527
0.1,0.4,0.3,2.2,0.002257984515603439
0.1,0.4,0.3,2.4,0.0022584681735183625
0.8,0.1,0.4,2.0,0.0022594446557338216
0.4,0.2,0.3,2.2,0.0022634461573341983
0.5,0.4,0.4,2.0,0.0022730474444571103
0.5,0.2,0.3,2.4,0.0022938426446057264
0.3,0.4,0.4,1.4,0.0022951378698726787
0.3,0.7,0.4,1.8,0.0022984856690815856
0.7,0.2,0.4,2.0,0.0023218463422538427
0.7,0.1,0.4,1.6,0.002325738725355533
0.7,0.2,0.5,1.4,0.002334631237778807
0.6,0.3,0.5,1.4,0.0023352938202007897
0.3,0.6,0.4,1.6,0.002339069019521652
0.2,0.8,0.4,1.8,0.002349199619710948
0.2,0.6,0.4,1.6,0.002362071078276592
0.7,0.1,0.4,2.0,0.0023638267417671307
0.5,0.4,0.5,1.4,0.0023657820289647
0.3,0.5,0.4,2.0,0.002367214719887822
0.2,0.7,0.4,1.8,0.002370989049078566
0.2,0.7,0.4,1.6,0.002383344509819391
0.6,0.3,0.4,2.0,0.0024138313600328577
0.1,0.9,0.3,2.8,0.002419376323958761
0.4,0.3,0.3,2.4,0.0024325939132685123
0.4,0.2,0.5,1.0,0.002433376782062425
0.6,0.2,0.5,1.4,0.002435115934205489
0.7,0.1,0.5,1.4,0.00246423073978536
0.4,0.6,0.5,1.2,0.0024659232536305836
0.4,0.4,0.5,1.0,0.002476095200459465
0.3,0.5,0.3,2.6,0.002522242521419733
0.5,0.3,0.4,1.6,0.002528633609589224
0.8,0.1,0.6,1.0,0.0025401007395930834
0.1,0.6,0.3,2.2,0.002549295395505559
0.3,0.2,0.3,2.8,0.002562625871860953
0.2,0.3,0.3,2.0,0.002563440836583656
0.6,0.2,0.3,2.6,0.0025826745248383465
0.2,0.9,0.4,1.8,0.002599850045696741
0.2,0.1,0.3,2.0,0.0026412047981412123
0.9,0.1,0.4,2.0,0.0026443992793657107
0.1,0.5,0.3,2.8,0.0026458449498378196
0.4,0.3,0.4,1.4,0.0026483298477178894
0.5,0.2,0.4,2.0,0.0026521179047796274
0.4,0.3,0.5,1.2,0.0026652788818503346
0.4,0.1,0.3,2.0,0.00266772747608031
0.3,0.2,0.3,2.0,0.0026705671130539173
0.4,0.6,0.5,1.4,0.0026730323214252095
0.7,0.2,0.6,1.0,0.002676034772798483
0.2,0.8,0.4,1.6,0.002676797835760139
0.4,0.3,0.4,2.0,0.0026810980938908554
0.6,0.2,0.4,1.6,0.0026838934388560033
0.2,0.5,0.4,1.6,0.002696140372843961
0.5,0.5,0.5,1.4,0.0026981860938450155
0.5,0.3,0.5,1.4,0.0027203608579564227
0.6,0.3,0.5,1.2,0.00273038434020243
0.2,0.3,0.3,2.8,0.0027414868597871946
